StartofWindow EndofWindow coverage Chr Ploidy
2261983 2339890 5 1 all
2339890 2408834 4 1 all
2408834 2537794 5 1 all
2537794 2565327 4 1 all
2565327 2575533 3 1 all
2575533 2704698 4 1 all
2704698 2729038 21 1 all
2729038 2735418 23 1 all
2735418 2747472 25 1 all
2747472 2757702 24 1 all
2757702 2786626 25 1 all
2786626 2981499 24 1 all
2981499 3000441 23 1 all
3000441 3006627 24 1 all
3006627 3038623 23 1 all
3038623 3110735 22 1 all
3110735 3127538 21 1 all
3127538 3133307 22 1 all
3133307 3138105 21 1 all
3138105 3146558 20 1 all
3146558 3148554 19 1 all
3148554 3151810 18 1 all
3151810 3157614 17 1 all
3157614 3161036 16 1 all
3161036 3165723 10 1 all
3165723 3168462 9 1 all
3168462 3172702 8 1 all
3172702 3192442 7 1 all
3192442 3199217 6 1 all
3199217 3205956 5 1 all
3205956 3227975 1 1 all
3227975 3364487 2 1 all
3364487 3389727 1 1 all
3389727 3407007 3 1 all
3407007 3424379 5 1 all
3424379 3436880 6 1 all
3436880 3472952 7 1 all
3472952 3480149 8 1 all
3480149 3526273 7 1 all
3526273 3570883 9 1 all
3570883 3598899 10 1 all
3598899 3616975 9 1 all
3616975 3646291 8 1 all
3646291 3670712 9 1 all
3670712 3675959 8 1 all
3675959 3686318 9 1 all
3686318 3686357 10 1 all
3686357 3736850 9 1 all
3736850 3744084 11 1 all
3744084 3796237 15 1 all
3796237 3840709 16 1 all
3840709 3995644 15 1 all
3995644 4024256 16 1 all
4024256 4070395 17 1 all
4070395 4094092 16 1 all
4094092 4160904 15 1 all
4160904 4162563 16 1 all
4162563 4170249 15 1 all
4170249 4186309 14 1 all
4186309 4190685 15 1 all
4190685 4216862 14 1 all
4216862 4227091 15 1 all
4227091 4262453 13 1 all
4262453 4293138 15 1 all
4293138 4316688 14 1 all
4316688 4357576 12 1 all
4357576 4364422 13 1 all
4364422 4400538 12 1 all
4400538 4409252 11 1 all
4409252 4423578 10 1 all
4423578 4441089 9 1 all
4441089 4463229 8 1 all
4463229 4597961 7 1 all
4597961 4610733 6 1 all
4610733 4613047 7 1 all
4613047 4653401 6 1 all
4653401 4657087 7 1 all
4657087 4705931 6 1 all
4705931 4717340 5 1 all
4717340 4757524 6 1 all
4757524 4772717 5 1 all
4772717 4809120 4 1 all
4809120 5036940 3 1 all
5036940 5072295 4 1 all
5072295 5088994 3 1 all
5088994 5113911 4 1 all
5113911 5146071 6 1 all
5146071 5159350 7 1 all
5159350 5170712 6 1 all
5170712 5184130 5 1 all
5184130 5215285 4 1 all
5215285 5262285 5 1 all
5262285 5291489 4 1 all
5291489 5294237 5 1 all
5294237 5341078 6 1 all
5341078 5347371 5 1 all
5347371 5540807 6 1 all
5540807 5646104 5 1 all
5646104 5720961 4 1 all
5720961 5754119 3 1 all
5754119 5768379 2 1 all
5768379 5778800 3 1 all
5778800 5840181 2 1 all
5840181 5947100 1 1 all
5947100 5955841 2 1 all
5955841 5956909 4 1 all
5956909 5961724 13 1 all
5961724 5970367 14 1 all
5970367 5977154 12 1 all
5977154 5987978 3 1 all
5987978 6007259 2 1 all
6007259 6022815 3 1 all
6022815 6053916 2 1 all
6053916 6063655 1 1 all
6063655 6419320 0 1 all
6419320 6615444 1 1 all
6615444 7200855 0 1 all
7200855 7403020 1 1 all
7403020 7444592 0 1 all
7444592 7895966 1 1 all
7895966 7902777 4 1 all
7902777 7980861 3 1 all
7980861 7989566 2 1 all
7989566 8003064 1 1 all
8003064 8016072 2 1 all
8016072 8046672 3 1 all
8046672 8173369 2 1 all
8173369 8311959 3 1 all
8311959 8323168 2 1 all
8323168 8851929 1 1 all
8851929 8943350 2 1 all
8943350 8954683 3 1 all
8954683 8964144 4 1 all
8964144 8971274 5 1 all
8971274 8998059 7 1 all
8998059 9017204 8 1 all
9017204 9034966 7 1 all
9034966 9039022 6 1 all
9039022 9045359 3 1 all
9045359 9056801 2 1 all
9056801 9058546 3 1 all
9058546 9075369 4 1 all
9075369 9080966 3 1 all
9080966 9122382 2 1 all
9122382 9254456 1 1 all
9254456 9453902 2 1 all
9453902 9535619 3 1 all
9535619 9542971 2 1 all
9542971 9790995 1 1 all
9790995 10281012 0 1 all
10281012 10429705 1 1 all
10429705 10499917 0 1 all
10499917 10529326 1 1 all
10529326 10537608 2 1 all
10537608 10563492 3 1 all
10563492 10658221 2 1 all
10658221 10664708 1 1 all
10664708 10666646 2 1 all
10666646 10679714 3 1 all
10679714 10683672 8 1 all
10683672 10689678 13 1 all
10689678 10700044 18 1 all
10700044 10710849 20 1 all
10710849 10713997 21 1 all
10713997 10759741 22 1 all
10759741 10760510 21 1 all
10760510 10762077 20 1 all
10762077 10766797 13 1 all
10766797 10767902 10 1 all
10767902 10771488 7 1 all
10771488 10773987 6 1 all
10773987 10782671 4 1 all
10782671 10794895 5 1 all
10794895 10815421 4 1 all
10815421 10869052 3 1 all
10869052 10874890 4 1 all
10874890 10974329 7 1 all
10974329 10989016 6 1 all
10989016 10989128 8 1 all
10989128 10993680 4 1 all
10993680 11005959 12 1 all
11005959 11022834 11 1 all
11022834 11049308 12 1 all
11049308 11050459 11 1 all
11050459 11060799 1 1 all
11060799 11291101 0 1 all
11291101 11301823 1 1 all
11301823 11306882 2 1 all
11306882 11652656 3 1 all
11652656 11665198 2 1 all
11665198 11674150 3 1 all
11674150 11856378 1 1 all
11856378 12032953 0 1 all
12032953 12095521 1 1 all
12095521 12168584 2 1 all
12168584 12218967 1 1 all
12218967 12272553 2 1 all
12272553 12291130 1 1 all
12291130 12464308 2 1 all
12464308 12600845 3 1 all
12600845 12637028 4 1 all
12637028 12648862 5 1 all
12648862 12663688 6 1 all
12663688 12688518 5 1 all
12688518 12718815 9 1 all
12718815 12738442 10 1 all
12738442 12751429 25 1 all
12751429 12755946 26 1 all
12755946 12774999 25 1 all
12774999 12837840 26 1 all
12837840 12848097 25 1 all
12848097 12854105 25 1 all
12854105 12855598 55 1 all
12855598 12855789 60 1 all
12855789 12856174 63 1 all
12856174 12861693 72 1 all
12861693 12865657 81 1 all
12865657 12869122 94 1 all
12869122 12870268 92 1 all
12870268 12871828 91 1 all
12871828 12880278 73 1 all
12880278 12885335 66 1 all
12885335 12887399 67 1 all
12887399 12898517 66 1 all
12898517 12901323 65 1 all
12901323 12915500 66 1 all
12915500 12917954 64 1 all
12917954 12919121 63 1 all
12919121 12919770 62 1 all
12919770 12921210 60 1 all
12921210 12921386 59 1 all
12921386 12923962 58 1 all
12923962 12939504 30 1 all
12939504 12943277 29 1 all
12943277 12952747 22 1 all
12952747 12952951 23 1 all
12952951 12955549 20 1 all
12955549 13038285 15 1 all
13038285 13176463 4 1 all
13176463 13186401 5 1 all
13186401 13695819 4 1 all
13695819 13744712 6 1 all
13744712 13859570 7 1 all
13859570 13885279 6 1 all
13885279 13914909 5 1 all
13914909 13922400 4 1 all
13922400 14215858 3 1 all
14215858 14234026 8 1 all
14234026 14235500 10 1 all
14235500 14399627 11 1 all
14399627 14456830 8 1 all
14456830 14463451 4 1 all
14463451 14532060 3 1 all
14532060 14665294 5 1 all
14665294 14674266 6 1 all
14674266 14821610 5 1 all
14821610 14831088 4 1 all
14831088 15077934 3 1 all
15077934 15095757 4 1 all
15095757 15116033 5 1 all
15116033 15154630 4 1 all
15154630 15158929 3 1 all
15158929 15169335 2 1 all
15169335 15234557 4 1 all
15234557 15247407 2 1 all
15247407 15286096 3 1 all
15286096 15288789 4 1 all
15288789 15295333 5 1 all
15295333 15309861 10 1 all
15309861 15320285 13 1 all
15320285 15328112 14 1 all
15328112 15331802 15 1 all
15331802 15343374 16 1 all
15343374 15347076 18 1 all
15347076 15350837 19 1 all
15350837 15368553 21 1 all
15368553 15449891 22 1 all
15449891 15508945 21 1 all
15508945 15558957 22 1 all
15558957 15572354 21 1 all
15572354 15581406 20 1 all
15581406 15602957 18 1 all
15602957 15608753 19 1 all
15608753 15614528 20 1 all
15614528 15620733 19 1 all
15620733 15638004 18 1 all
15638004 15639581 17 1 all
15639581 15642964 16 1 all
15642964 15644729 15 1 all
15644729 15648532 14 1 all
15648532 15653078 12 1 all
15653078 15663384 10 1 all
15663384 15677983 11 1 all
15677983 15683402 8 1 all
15683402 15709352 7 1 all
15709352 15724295 6 1 all
15724295 15742568 7 1 all
15742568 15745254 6 1 all
15745254 15752716 5 1 all
15752716 15760015 4 1 all
15760015 15762118 6 1 all
15762118 15809141 5 1 all
15809141 15809706 4 1 all
15809706 15820448 3 1 all
15820448 16049340 2 1 all
16049340 16064144 1 1 all
16064144 16096934 2 1 all
16096934 16353926 1 1 all
16353926 16355342 2 1 all
16355342 16355638 3 1 all
16355638 16357097 5 1 all
16357097 16359254 8 1 all
16359254 16361037 9 1 all
16361037 16364255 14 1 all
16364255 16367268 32 1 all
16367268 16368133 49 1 all
16368133 16369408 51 1 all
16369408 16382258 52 1 all
16382258 16382505 48 1 all
16382505 16382966 46 1 all
16382966 16385131 27 1 all
16385131 16386495 11 1 all
16386495 16387629 7 1 all
16387629 16389036 6 1 all
16389036 16390604 5 1 all
16390604 16393357 3 1 all
16393357 16404496 2 1 all
16404496 16493225 1 1 all
16493225 16628244 2 1 all
16628244 17016310 1 1 all
17016310 17026466 2 1 all
17026466 17186742 4 1 all
17186742 17219485 7 1 all
17219485 17227627 8 1 all
17227627 17231862 13 1 all
17231862 17235079 17 1 all
17235079 17240192 18 1 all
17240192 17248189 20 1 all
17248189 17265472 23 1 all
17265472 17274911 22 1 all
17274911 17277332 15 1 all
17277332 17279049 14 1 all
17279049 17282045 12 1 all
17282045 17284730 6 1 all
17284730 17301672 3 1 all
17301672 17380466 4 1 all
17380466 17388568 5 1 all
17388568 17472394 4 1 all
17472394 17514549 3 1 all
17514549 17603075 2 1 all
17603075 17604701 10 1 all
17604701 17606189 11 1 all
17606189 17636860 12 1 all
17636860 17690206 11 1 all
17690206 17857601 1 1 all
17857601 18190225 2 1 all
18190225 18245540 1 1 all
18245540 18264969 2 1 all
18264969 18303172 1 1 all
18303172 18307823 2 1 all
18307823 18312084 3 1 all
18312084 18373009 4 1 all
18373009 18552963 5 1 all
18552963 18573022 6 1 all
18573022 18581421 5 1 all
18581421 18582222 4 1 all
18582222 18588615 3 1 all
18588615 18684123 2 1 all
18684123 18707373 3 1 all
18707373 18758343 2 1 all
18758343 18813409 1 1 all
18813409 18948634 2 1 all
18948634 18987872 3 1 all
18987872 19050951 4 1 all
19050951 19066232 3 1 all
19066232 19096729 2 1 all
19096729 19097382 3 1 all
19097382 19101073 4 1 all
19101073 19145220 5 1 all
19145220 19154260 4 1 all
19154260 19160160 3 1 all
19160160 19403234 1 1 all
19403234 19481906 0 1 all
19481906 19988475 1 1 all
19988475 20002682 2 1 all
20002682 20092847 3 1 all
20092847 20484616 2 1 all
20484616 20551745 3 1 all
20551745 20555321 2 1 all
20555321 20556579 4 1 all
20556579 20601012 5 1 all
20601012 20604236 3 1 all
20604236 20643013 2 1 all
20643013 20891261 1 1 all
20891261 20945055 0 1 all
20945055 21005316 1 1 all
21005316 21006187 14 1 all
21006187 21032041 15 1 all
21032041 21033779 14 1 all
21033779 21034646 12 1 all
21034646 21036532 11 1 all
21036532 21037956 10 1 all
21037956 21045508 9 1 all
21045508 21054450 8 1 all
21054450 21091861 2 1 all
21091861 21100876 1 1 all
21100876 21819738 0 1 all
21819738 21889760 1 1 all
21889760 22537373 0 1 all
22537373 22556224 1 1 all
22556224 22641134 2 1 all
22641134 22691935 1 1 all
22691935 22920113 0 1 all
22920113 22987958 1 1 all
22987958 23783387 0 1 all
23783387 23991742 1 1 all
23991742 24256312 0 1 all
24256312 24373109 1 1 all
24373109 24427890 2 1 all
24427890 24436337 1 1 all
24436337 24473669 2 1 all
24473669 24788950 1 1 all
24788950 25310009 0 1 all
25310009 25312962 6 1 all
25312962 25326313 7 1 all
25326313 25329722 8 1 all
25329722 25353703 9 1 all
25353703 25377908 10 1 all
25377908 25439449 11 1 all
25439449 25475026 12 1 all
25475026 25515194 11 1 all
25515194 25525915 12 1 all
25525915 25527944 20 1 all
25527944 25533594 24 1 all
25533594 25543484 28 1 all
25543484 25554663 77 1 all
25554663 25564304 82 1 all
25564304 25565906 104 1 all
25565906 25570081 107 1 all
25570081 25572984 118 1 all
25572984 25583610 181 1 all
25583610 25584976 896 1 all
25584976 25585385 903 1 all
25585385 25586498 912 1 all
25586498 25586652 1109 1 all
25586652 25589335 1111 1 all
25589335 25592691 1166 1 all
25592691 25594166 2360 1 all
25594166 25599041 3142 1 all
25599041 25599055 37717 1 all
25599055 25599064 37718 1 all
25599064 25599066 37731 1 all
25599066 25599086 37755 1 all
25599086 25599144 37965 1 all
25599144 25600747 37972 1 all
25600747 25602002 39497 1 all
25602002 25602709 39670 1 all
25602709 25605537 39907 1 all
25605537 25611175 42320 1 all
25611175 25617215 44515 1 all
25617215 25619569 44694 1 all
25619569 25627301 45068 1 all
25627301 25633210 45103 1 all
25633210 25643569 44842 1 all
25643569 25645529 44761 1 all
25645529 25648453 44641 1 all
25648453 25648747 44574 1 all
25648747 25651253 31600 1 all
25651253 25653526 30600 1 all
25653526 25655413 29659 1 all
25655413 25655822 29658 1 all
25655822 25658903 29546 1 all
25658903 25663071 5639 1 all
25663071 25664820 435 1 all
25664820 25665030 434 1 all
25665030 25667488 348 1 all
25667488 25669531 345 1 all
25669531 25680844 153 1 all
25680844 25683118 145 1 all
25683118 25688276 138 1 all
25688276 25695835 136 1 all
25695835 25696987 135 1 all
25696987 25699706 119 1 all
25699706 25705006 99 1 all
25705006 25707692 97 1 all
25707692 25712269 60 1 all
25712269 25715498 55 1 all
25715498 25719599 54 1 all
25719599 25736369 43 1 all
25736369 25743428 32 1 all
25743428 25747259 30 1 all
25747259 25754025 24 1 all
25754025 25755660 23 1 all
25755660 25768937 22 1 all
25768937 25800018 15 1 all
25800018 25813064 12 1 all
25813064 25818182 10 1 all
25818182 25830231 7 1 all
25830231 25868115 6 1 all
25868115 25880491 5 1 all
25880491 26283961 0 1 all
26283961 26549989 1 1 all
26549989 26581981 0 1 all
26581981 26663357 1 1 all
26663357 26678037 2 1 all
26678037 26720320 1 1 all
26720320 27159059 0 1 all
27159059 27219192 1 1 all
27219192 27242009 2 1 all
27242009 27285195 1 1 all
27285195 28110223 0 1 all
28110223 28318207 1 1 all
28318207 28701455 2 1 all
28701455 29019724 1 1 all
29019724 29746261 0 1 all
29746261 29751247 1 1 all
29751247 29760646 4 1 all
29760646 29764380 5 1 all
29764380 29770276 6 1 all
29770276 30029958 7 1 all
30029958 30042538 5 1 all
30042538 30047776 3 1 all
30047776 30060451 3 1 all
30060451 30244847 2 1 all
30244847 30263751 3 1 all
30263751 30393603 4 1 all
30393603 30434860 5 1 all
30434860 30542925 4 1 all
30542925 30567596 5 1 all
30567596 30578212 50 1 all
30578212 30667662 51 1 all
30667662 30693904 52 1 all
30693904 30745268 51 1 all
30745268 30783875 50 1 all
30783875 30803864 51 1 all
30803864 30830957 50 1 all
30830957 30872734 52 1 all
30872734 30917152 51 1 all
30917152 31013182 50 1 all
31013182 31017448 52 1 all
31017448 31027853 50 1 all
31027853 31167561 51 1 all
31167561 31174053 42 1 all
31174053 31179008 40 1 all
31179008 31179720 32 1 all
31179720 31183057 16 1 all
31183057 31188935 8 1 all
31188935 31198094 6 1 all
31198094 31206746 3 1 all
31206746 31367980 1 1 all
31367980 31593640 0 1 all
31593640 31917821 1 1 all
31917821 32041829 2 1 all
32041829 32089227 3 1 all
32089227 32140733 2 1 all
32140733 32155877 1 1 all
32155877 32660275 0 1 all
32660275 32756439 1 1 all
32756439 32795632 0 1 all
32795632 32932434 1 1 all
32932434 33443379 0 1 all
33443379 33568619 2 1 all
33568619 33687320 0 1 all
33687320 33857107 1 1 all
33857107 33860966 2 1 all
33860966 33871246 3 1 all
33871246 33887888 15 1 all
33887888 33908833 36 1 all
33908833 33911068 39 1 all
33911068 33920586 40 1 all
33920586 33925967 42 1 all
33925967 33935287 44 1 all
33935287 33944335 48 1 all
33944335 33952287 51 1 all
33952287 33960031 52 1 all
33960031 33971943 53 1 all
33971943 33984723 54 1 all
33984723 33988036 56 1 all
33988036 34289132 57 1 all
34289132 34303521 56 1 all
34303521 34346184 55 1 all
34346184 34361301 54 1 all
34361301 34363864 53 1 all
34363864 34370967 48 1 all
34370967 34372643 47 1 all
34372643 34395835 46 1 all
34395835 34400715 44 1 all
34400715 34402352 45 1 all
34402352 34405264 41 1 all
34405264 34406684 40 1 all
34406684 34410093 39 1 all
34410093 34415927 35 1 all
34415927 34419276 34 1 all
34419276 34420683 32 1 all
34420683 34421567 31 1 all
34421567 34422163 30 1 all
34422163 34424462 17 1 all
34424462 34428525 3 1 all
34428525 34603218 2 1 all
34603218 34805625 1 1 all
34805625 34812189 2 1 all
34812189 35118282 3 1 all
35118282 35130648 1 1 all
35130648 35142875 5 1 all
35142875 35231378 8 1 all
35231378 35235502 6 1 all
35235502 35308591 1 1 all
35308591 36916454 0 1 all
36916454 36998494 2 1 all
36998494 38147166 0 1 all
38147166 38213615 1 1 all
38213615 39048675 0 1 all
39048675 39122886 1 1 all
39122886 39159890 0 1 all
39159890 39339164 1 1 all
39339164 39353939 2 1 all
39353939 39966718 1 1 all
39966718 40205803 0 1 all
40205803 40376944 1 1 all
40376944 40438329 0 1 all
40438329 40584798 1 1 all
40584798 41338958 0 1 all
41338958 41405664 1 1 all
41405664 43197566 0 1 all
43197566 43369305 2 1 all
43369305 43369810 1 1 all
43369810 43911863 0 1 all
43911863 43941508 1 1 all
43941508 44063508 2 1 all
44063508 44615555 1 1 all
44615555 44845627 2 1 all
44845627 45161845 1 1 all
45161845 45478812 0 1 all
45478812 45500107 1 1 all
45500107 45788479 0 1 all
45788479 45792954 1 1 all
45792954 45808863 2 1 all
45808863 45810923 0 1 all
45810923 45827744 1 1 all
45827744 45938386 2 1 all
45938386 46032279 1 1 all
46032279 46127618 2 1 all
46127618 46173481 1 1 all
46173481 46361025 2 1 all
46361025 46476447 1 1 all
46476447 46498375 2 1 all
46498375 46612106 1 1 all
46612106 47000996 0 1 all
47000996 47005597 3 1 all
47005597 47055992 10 1 all
47055992 47065426 9 1 all
47065426 47079043 2 1 all
47079043 47080741 1 1 all
47080741 47984438 0 1 all
47984438 48082085 1 1 all
48082085 48142053 0 1 all
48142053 48241091 1 1 all
48241091 49228490 0 1 all
49228490 49247501 1 1 all
49247501 49386793 2 1 all
49386793 49483208 4 1 all
49483208 49524433 5 1 all
49524433 49577731 6 1 all
49577731 49643320 5 1 all
49643320 49644608 6 1 all
49644608 49699672 5 1 all
49699672 49807888 6 1 all
49807888 49861551 7 1 all
49861551 49887243 8 1 all
49887243 49910568 9 1 all
49910568 49997486 8 1 all
49997486 50161528 5 1 all
50161528 50243627 4 1 all
50243627 50250603 3 1 all
50250603 50488131 2 1 all
50488131 50515835 1 1 all
50515835 52732990 0 1 all
52732990 52830224 1 1 all
52830224 53030028 0 1 all
53030028 53638729 1 1 all
53638729 53681725 4 1 all
53681725 53684521 2 1 all
53684521 54011869 1 1 all
54011869 54776051 0 1 all
54776051 55225089 1 1 all
55225089 55266278 0 1 all
55266278 55270771 5 1 all
55270771 55302832 6 1 all
55302832 55502672 7 1 all
55502672 55525400 8 1 all
55525400 55525944 7 1 all
55525944 55529828 6 1 all
55529828 55534271 4 1 all
55534271 55538458 2 1 all
55538458 55829813 0 1 all
55829813 56409829 2 1 all
56409829 56655628 3 1 all
56655628 56723766 2 1 all
56723766 56742806 3 1 all
56742806 56819096 4 1 all
56819096 56826300 7 1 all
56826300 56916851 5 1 all
56916851 56946055 3 1 all
56946055 56983704 2 1 all
56983704 57967065 0 1 all
57967065 58053560 1 1 all
58053560 58062920 2 1 all
58062920 58075285 3 1 all
58075285 58092574 4 1 all
58092574 58105676 5 1 all
58105676 58140277 6 1 all
58140277 58154811 7 1 all
58154811 58185117 6 1 all
58185117 58215377 7 1 all
58215377 58243493 6 1 all
58243493 58254631 5 1 all
58254631 58260028 4 1 all
58260028 58294764 5 1 all
58294764 58312692 3 1 all
58312692 58323829 5 1 all
58323829 58334623 4 1 all
58334623 58367236 5 1 all
58367236 58411847 6 1 all
58411847 58467375 5 1 all
58467375 58514211 4 1 all
58514211 58580112 3 1 all
58580112 58585735 2 1 all
58585735 58722748 1 1 all
58722748 58727681 2 1 all
58727681 58871373 1 1 all
58871373 58939634 2 1 all
58939634 58963033 1 1 all
58963033 59814093 0 1 all
59814093 59830402 1 1 all
59830402 59843797 2 1 all
59843797 59853319 4 1 all
59853319 59881472 5 1 all
59881472 59889341 7 1 all
59889341 59891290 9 1 all
59891290 59921216 10 1 all
59921216 59995378 11 1 all
59995378 60019898 10 1 all
60019898 60032769 9 1 all
60032769 60048041 8 1 all
60048041 60065610 4 1 all
60065610 60104049 3 1 all
60104049 60132351 2 1 all
60132351 60168554 1 1 all
60168554 60214644 0 1 all
60214644 60334823 1 1 all
60334823 60686304 0 1 all
60686304 60717715 1 1 all
60717715 60722239 2 1 all
60722239 60820075 3 1 all
60820075 60841810 4 1 all
60841810 60860355 5 1 all
60860355 60963906 3 1 all
60963906 61122907 4 1 all
61122907 61176593 5 1 all
61176593 61236118 4 1 all
61236118 61280998 3 1 all
61280998 61481275 2 1 all
61481275 61676416 1 1 all
61676416 61712081 2 1 all
61712081 61745369 5 1 all
61745369 61751459 6 1 all
61751459 61987278 7 1 all
61987278 62113261 8 1 all
62113261 62121272 7 1 all
62121272 62125521 6 1 all
62125521 62165212 2 1 all
62165212 62317344 3 1 all
62317344 62388615 4 1 all
62388615 62393638 3 1 all
62393638 62510584 2 1 all
62510584 62598741 3 1 all
62598741 62660991 2 1 all
62660991 62672415 3 1 all
62672415 62743398 4 1 all
62743398 62762139 3 1 all
62762139 62853789 2 1 all
62853789 63329415 1 1 all
63329415 63468034 2 1 all
63468034 63563105 4 1 all
63563105 63642762 5 1 all
63642762 63654256 4 1 all
63654256 63834814 3 1 all
63834814 63862740 2 1 all
63862740 63990311 1 1 all
63990311 64142277 2 1 all
64142277 64217123 3 1 all
64217123 64313970 6 1 all
64313970 64429603 5 1 all
64429603 64438295 4 1 all
64438295 64441377 3 1 all
64441377 65113568 2 1 all
65113568 65763898 1 1 all
65763898 65824320 2 1 all
65824320 65936181 3 1 all
65936181 65966536 4 1 all
65966536 65992625 5 1 all
65992625 66089782 6 1 all
66089782 66172006 5 1 all
66172006 66200904 4 1 all
66200904 66323435 3 1 all
66323435 66358242 2 1 all
66358242 66769100 1 1 all
66769100 66960809 2 1 all
66960809 67274795 1 1 all
67274795 67385075 0 1 all
67385075 67752701 1 1 all
67752701 67860323 2 1 all
67860323 68143281 1 1 all
68143281 68417943 2 1 all
68417943 68512910 1 1 all
68512910 68728886 0 1 all
68728886 68821539 1 1 all
68821539 68884860 0 1 all
68884860 68895518 2 1 all
68895518 68921635 3 1 all
68921635 68923610 1 1 all
68923610 69080255 0 1 all
69080255 69261275 1 1 all
69261275 69303675 0 1 all
69303675 69323507 1 1 all
69323507 69550939 2 1 all
69550939 69573888 1 1 all
69573888 69705602 2 1 all
69705602 69722059 1 1 all
69722059 69920839 2 1 all
69920839 71366499 1 1 all
71366499 71472911 2 1 all
71472911 71827570 1 1 all
71827570 71999478 3 1 all
71999478 72035165 2 1 all
72035165 72110680 3 1 all
72110680 72122758 4 1 all
72122758 72157134 5 1 all
72157134 72172833 4 1 all
72172833 72187053 6 1 all
72187053 72190538 8 1 all
72190538 72193716 9 1 all
72193716 72224718 10 1 all
72224718 72385590 11 1 all
72385590 72396422 9 1 all
72396422 72433346 6 1 all
72433346 72464738 5 1 all
72464738 72482061 7 1 all
72482061 72488455 6 1 all
72488455 72492243 9 1 all
72492243 72509490 10 1 all
72509490 72596508 11 1 all
72596508 72615624 10 1 all
72615624 72663293 9 1 all
72663293 72733610 8 1 all
72733610 72751185 4 1 all
72751185 72837777 3 1 all
72837777 72925024 2 1 all
72925024 72940536 3 1 all
72940536 73048685 4 1 all
