CHR	window	START	END	Cov
1	189	8173369	8311959	3
1	190	8311959	8323168	2
1	191	8323168	8851929	1
1	192	8851929	8954683	2
1	193	8954683	8964144	3
1	194	8964144	8971274	4
1	195	8971274	8998059	6
1	196	8998059	9017204	7
1	197	9017204	9034966	6
1	198	9034966	9039022	5
1	199	9039022	9045359	2
1	200	9045359	9056801	1
1	201	9056801	9058546	2
1	202	9058546	9075369	3
1	203	9075369	9080966	2
1	204	9080966	9122382	1
1	205	9122382	9254456	0
1	206	9254456	9453902	1
1	207	9453902	9535619	2
1	208	9535619	9542971	1
1	209	9542971	10281012	0
1	210	10281012	10429705	1
1	211	10429705	10499917	0
1	212	10499917	10537608	1
1	213	10537608	10563492	2
1	214	10563492	10658221	1
1	215	10658221	10664708	0
1	216	10664708	10666646	1
1	217	10666646	10679714	2
1	218	10679714	10683672	7
1	219	10683672	10689678	12
1	220	10689678	10700044	17
1	221	10700044	10713997	19
1	222	10713997	10759741	20
1	223	10759741	10760510	19
1	224	10760510	10762077	18
1	225	10762077	10766797	11
1	226	10766797	10767902	8
1	227	10767902	10771488	5
1	228	10771488	10773987	4
1	229	10773987	10782671	2
1	230	10782671	10794895	3
1	231	10794895	10815421	2
1	232	10815421	10869052	1
1	233	10869052	10874890	2
1	234	10874890	10989016	5
1	235	10989016	10989128	7
1	236	10989128	10993680	3
1	237	10993680	11022834	11
1	238	11022834	11049308	12
1	239	11049308	11050459	11
1	240	11050459	11060799	1
1	241	11060799	11665198	0
1	242	11665198	11856378	1
1	243	11856378	12095521	0
1	244	12095521	12168584	1
1	245	12168584	12218967	0
1	246	12218967	12272553	1
1	247	12272553	12600845	0
1	248	12600845	12637028	1
1	249	12637028	12648862	2
1	250	12648862	12663688	3
1	251	12663688	12688518	2
1	252	12688518	12718815	6
1	253	12718815	12738442	7
1	254	12738442	12751429	22
1	255	12751429	12755946	23
1	256	12755946	12774999	22
1	257	12774999	12837840	23
1	258	12837840	12848097	22
1	259	12848097	12854105	22
1	260	12854105	12855598	52
1	261	12855598	12855789	57
1	262	12855789	12856174	60
1	263	12856174	12861693	69
1	264	12861693	12865657	78
1	265	12865657	12869122	90
1	266	12869122	12870268	88
1	267	12870268	12871828	87
1	268	12871828	12880278	70
1	269	12880278	12885335	63
1	270	12885335	12887399	64
1	271	12887399	12898517	63
1	272	12898517	12901323	62
1	273	12901323	12915500	63
1	274	12915500	12917954	62
1	275	12917954	12919121	61
1	276	12919121	12919770	60
1	277	12919770	12921210	58
1	278	12921210	12921386	57
1	279	12921386	12923962	56
1	280	12923962	12939504	28
1	281	12939504	12943277	27
1	282	12943277	12952951	20
1	283	12952951	12955549	17
1	284	12955549	13038285	12
1	285	13038285	13186401	1
1	286	13186401	14215858	0
1	287	14215858	14234026	5
1	288	14234026	14235500	7
1	289	14235500	14399627	8
1	290	14399627	14456830	5
1	291	14456830	14463451	1
1	292	14463451	14532060	0
1	293	14532060	14665294	1
1	294	14665294	14674266	2
1	295	14674266	14831088	1
1	296	14831088	15077934	0
1	297	15077934	15095757	1
1	298	15095757	15154630	2
1	299	15154630	15158929	1
1	300	15158929	15169335	0
1	301	15169335	15234557	2
1	302	15234557	15347076	0
1	303	15347076	15449891	1
1	304	15449891	15602957	0
1	305	15602957	15608753	1
1	306	15608753	15620733	2
1	307	15620733	15663384	3
1	308	15663384	15683402	4
1	309	15683402	15709352	3
1	310	15709352	15724295	2
1	311	15724295	15742568	3
1	312	15742568	15760015	2
1	313	15760015	15762118	4
1	314	15762118	15809141	3
1	315	15809141	15809706	2
1	316	15809706	15820448	1
1	317	15820448	16064144	0
1	318	16064144	16096934	1
1	319	16096934	16353926	0
1	320	16353926	16355342	1
1	321	16355342	16355638	2
1	322	16355638	16357097	4
1	323	16357097	16359254	7
1	324	16359254	16361037	8
1	325	16361037	16364255	13
1	326	16364255	16367268	31
1	327	16367268	16368133	48
1	328	16368133	16369408	50
1	329	16369408	16382258	51
1	330	16382258	16382505	47
1	331	16382505	16382966	45
1	332	16382966	16385131	26
1	333	16385131	16386495	10
1	334	16386495	16387629	6
1	335	16387629	16389036	5
1	336	16389036	16390604	4
1	337	16390604	16393357	2
1	338	16393357	16404496	1
1	339	16404496	16493225	0
1	340	16493225	16628244	1
1	341	16628244	17016310	0
1	342	17016310	17026466	1
1	343	17026466	17186742	3
1	344	17186742	17219485	5
1	345	17219485	17227627	6
1	346	17227627	17231862	11
1	347	17231862	17235079	15
1	348	17235079	17240192	16
1	349	17240192	17248189	18
1	350	17248189	17265472	21
1	351	17265472	17274911	20
1	352	17274911	17277332	13
1	353	17277332	17279049	11
1	354	17279049	17282045	9
1	355	17282045	17284730	3
1	356	17284730	17603075	0
1	357	17603075	17604701	8
1	358	17604701	17606189	9
1	359	17606189	17690206	10
1	360	17690206	18245540	0
1	361	18245540	18684123	1
1	362	18684123	18707373	2
1	363	18707373	18758343	1
1	364	18758343	18813409	0
1	365	18813409	18948634	1
1	366	18948634	18987872	2
1	367	18987872	19066232	3
1	368	19066232	19096729	2
1	369	19096729	19097382	3
1	370	19097382	19101073	4
1	371	19101073	19145220	5
1	372	19145220	19154260	4
1	373	19154260	19160160	3
1	374	19160160	19403234	1
1	375	19403234	19988475	0
1	376	19988475	20002682	1
1	377	20002682	20092847	2
1	378	20092847	20484616	1
1	379	20484616	20551745	2
1	380	20551745	20555321	1
1	381	20555321	20556579	3
1	382	20556579	20601012	4
1	383	20601012	20604236	2
1	384	20604236	20891261	1
1	385	20891261	20945055	0
1	386	20945055	21005316	1
1	387	21005316	21006187	14
1	388	21006187	21032041	15
1	389	21032041	21033779	14
1	390	21033779	21034646	12
1	391	21034646	21036532	11
1	392	21036532	21037956	10
1	393	21037956	21045508	9
1	394	21045508	21054450	8
1	395	21054450	21091861	2
1	396	21091861	21100876	1
1	397	21100876	21819738	0
1	398	21819738	21889760	1
1	399	21889760	22537373	0
1	400	22537373	22556224	1
1	401	22556224	22641134	2
1	402	22641134	22691935	1
1	403	22691935	22920113	0
1	404	22920113	22987958	1
1	405	22987958	24256312	0
1	406	24256312	24373109	1
1	407	24373109	24427890	2
1	408	24427890	24473669	1
1	409	24473669	25326313	0
1	410	25326313	25439449	1
1	411	25439449	25475026	2
1	412	25475026	25515194	1
1	413	25515194	25525915	2
1	414	25525915	25527944	10
1	415	25527944	25533594	14
1	416	25533594	25543484	18
1	417	25543484	25554663	67
1	418	25554663	25564304	72
1	419	25564304	25565906	94
1	420	25565906	25570081	97
1	421	25570081	25572984	108
1	422	25572984	25583610	171
1	423	25583610	25584976	886
1	424	25584976	25585385	893
1	425	25585385	25586498	902
1	426	25586498	25586652	1099
1	427	25586652	25589335	1101
1	428	25589335	25592691	1156
1	429	25592691	25594166	2350
1	430	25594166	25599041	3132
1	431	25599041	25599055	37707
1	432	25599055	25599064	37708
1	433	25599064	25599066	37721
1	434	25599066	25599086	37745
1	435	25599086	25599144	37955
1	436	25599144	25600747	37962
1	437	25600747	25602002	39487
1	438	25602002	25602709	39660
1	439	25602709	25605537	39897
1	440	25605537	25611175	42310
1	441	25611175	25617215	44505
1	442	25617215	25619569	44684
1	443	25619569	25627301	45058
1	444	25627301	25633210	45093
1	445	25633210	25643569	44832
1	446	25643569	25645529	44751
1	447	25645529	25648453	44631
1	448	25648453	25648747	44564
1	449	25648747	25651253	31591
1	450	25651253	25653526	30591
1	451	25653526	25655413	29651
1	452	25655413	25655822	29650
1	453	25655822	25658903	29538
1	454	25658903	25663071	5631
1	455	25663071	25664820	427
1	456	25664820	25665030	426
1	457	25665030	25667488	340
1	458	25667488	25669531	337
1	459	25669531	25680844	149
1	460	25680844	25683118	141
1	461	25683118	25688276	134
1	462	25688276	25695835	132
1	463	25695835	25696987	131
1	464	25696987	25699706	115
1	465	25699706	25705006	96
1	466	25705006	25707692	94
1	467	25707692	25712269	59
1	468	25712269	25715498	54
1	469	25715498	25719599	53
1	470	25719599	25736369	43
1	471	25736369	25743428	32
1	472	25743428	25747259	30
1	473	25747259	25754025	24
1	474	25754025	25755660	23
1	475	25755660	25768937	22
1	476	25768937	25800018	15
1	477	25800018	25813064	12
1	478	25813064	25818182	10
1	479	25818182	25830231	7
1	480	25830231	25868115	6
1	481	25868115	25880491	5
1	482	25880491	26283961	0
1	483	26283961	26549989	1
1	484	26549989	26581981	0
1	485	26581981	26663357	1
1	486	26663357	26678037	2
1	487	26678037	26720320	1
1	488	26720320	27159059	0
1	489	27159059	27219192	1
1	490	27219192	27242009	2
1	491	27242009	27285195	1
1	492	27285195	28110223	0
1	493	28110223	28701455	1
1	494	28701455	29746261	0
1	495	29746261	29751247	1
1	496	29751247	29760646	4
1	497	29760646	29764380	5
1	498	29764380	29770276	6
1	499	29770276	30029958	7
1	500	30029958	30042538	5
1	501	30042538	30047776	2
1	502	30047776	30060451	1
1	503	30060451	30393603	0
1	504	30393603	30434860	1
1	505	30434860	30542925	0
1	506	30542925	30567596	1
1	507	30567596	30578212	46
1	508	30578212	30667662	47
1	509	30667662	30783875	48
1	510	30783875	30830957	49
1	511	30830957	30872734	51
1	512	30872734	30917152	50
1	513	30917152	31013182	49
1	514	31013182	31017448	51
1	515	31017448	31027853	49
1	516	31027853	31167561	50
1	517	31167561	31174053	41
1	518	31174053	31179008	39
1	519	31179008	31179720	31
1	520	31179720	31183057	15
1	521	31183057	31188935	7
1	522	31188935	31198094	5
1	523	31198094	31206746	2
1	524	31206746	31917821	0
1	525	31917821	32041829	1
1	526	32041829	32089227	2
1	527	32089227	32140733	1
1	528	32140733	32660275	0
1	529	32660275	32756439	1
1	530	32756439	32795632	0
1	531	32795632	32932434	1
1	532	32932434	33443379	0
1	533	33443379	33568619	2
1	534	33568619	34400715	0
1	535	34400715	34603218	1
1	536	34603218	34805625	0
1	537	34805625	34812189	1
1	538	34812189	35118282	2
1	539	35118282	35130648	0
1	540	35130648	35142875	4
1	541	35142875	35231378	7
1	542	35231378	35235502	5
1	543	35235502	36916454	0
1	544	36916454	36998494	2
1	545	36998494	38147166	0
1	546	38147166	38213615	1
1	547	38213615	39048675	0
1	548	39048675	39122886	1
1	549	39122886	39159890	0
1	550	39159890	39339164	1
1	551	39339164	39353939	2
1	552	39353939	39966718	1
1	553	39966718	40205803	0
1	554	40205803	40376944	1
1	555	40376944	40438329	0
1	556	40438329	40584798	1
1	557	40584798	41338958	0
1	558	41338958	41405664	1
1	559	41405664	43197566	0
1	560	43197566	43369305	2
1	561	43369305	43369810	1
1	562	43369810	43911863	0
1	563	43911863	44063508	1
1	564	44063508	44615555	0
1	565	44615555	44845627	1
1	566	44845627	45478812	0
1	567	45478812	45500107	1
1	568	45500107	45788479	0
1	569	45788479	45792954	1
1	570	45792954	45808863	2
1	571	45808863	45810923	0
1	572	45810923	45938386	1
1	573	45938386	46032279	0
1	574	46032279	46127618	1
1	575	46127618	46173481	0
1	576	46173481	46361025	1
1	577	46361025	46476447	0
1	578	46476447	46612106	1
1	579	46612106	47000996	0
1	580	47000996	47005597	3
1	581	47005597	47055992	10
1	582	47055992	47065426	9
1	583	47065426	47079043	2
1	584	47079043	47080741	1
1	585	47080741	47984438	0
1	586	47984438	48082085	1
1	587	48082085	48142053	0
1	588	48142053	48241091	1
1	589	48241091	49228490	0
1	590	49228490	49247501	1
1	591	49247501	49386793	2
1	592	49386793	49483208	4
1	593	49483208	49524433	5
1	594	49524433	49577731	6
1	595	49577731	49643320	5
1	596	49643320	49644608	6
1	597	49644608	49699672	5
1	598	49699672	49807888	6
1	599	49807888	49861551	7
1	600	49861551	49887243	8
1	601	49887243	49910568	9
1	602	49910568	49997486	8
1	603	49997486	50161528	5
1	604	50161528	50243627	4
1	605	50243627	50250603	3
1	606	50250603	50488131	2
1	607	50488131	50515835	1
1	608	50515835	52732990	0
1	609	52732990	52830224	1
1	610	52830224	53638729	0
1	611	53638729	53681725	3
1	612	53681725	53684521	1
1	613	53684521	55502672	0
1	614	55502672	55525400	1
1	615	55525400	56409829	0
1	616	56409829	56655628	1
1	617	56655628	56723766	0
1	618	56723766	56742806	1
1	619	56742806	56819096	2
1	620	56819096	56826300	5
1	621	56826300	56946055	3
1	622	56946055	56983704	2
1	623	56983704	57967065	0
1	624	57967065	58053560	1
1	625	58053560	58062920	2
1	626	58062920	58075285	3
1	627	58075285	58092574	4
1	628	58092574	58105676	5
1	629	58105676	58140277	6
1	630	58140277	58154811	7
1	631	58154811	58185117	6
1	632	58185117	58215377	7
1	633	58215377	58243493	6
1	634	58243493	58254631	5
1	635	58254631	58260028	4
1	636	58260028	58294764	5
1	637	58294764	58312692	3
1	638	58312692	58323829	5
1	639	58323829	58334623	4
1	640	58334623	58367236	5
1	641	58367236	58411847	6
1	642	58411847	58467375	5
1	643	58467375	58514211	4
1	644	58514211	58580112	3
1	645	58580112	58585735	2
1	646	58585735	58722748	1
1	647	58722748	58727681	2
1	648	58727681	58871373	1
1	649	58871373	58939634	2
1	650	58939634	58963033	1
1	651	58963033	59814093	0
1	652	59814093	59830402	1
1	653	59830402	59843797	2
1	654	59843797	59853319	4
1	655	59853319	59881472	5
1	656	59881472	59889341	7
1	657	59889341	59891290	9
1	658	59891290	59921216	10
1	659	59921216	59995378	11
1	660	59995378	60019898	10
1	661	60019898	60032769	9
1	662	60032769	60048041	8
1	663	60048041	60065610	4
1	664	60065610	60104049	3
1	665	60104049	60132351	2
1	666	60132351	60168554	1
1	667	60168554	60214644	0
1	668	60214644	60334823	1
1	669	60334823	60686304	0
1	670	60686304	60717715	1
1	671	60717715	60722239	2
1	672	60722239	60820075	3
1	673	60820075	60841810	4
1	674	60841810	60860355	5
1	675	60860355	60963906	3
1	676	60963906	61122907	4
1	677	61122907	61176593	5
1	678	61176593	61236118	4
1	679	61236118	61280998	3
1	680	61280998	61481275	2
1	681	61481275	62165212	1
1	682	62165212	62317344	2
1	683	62317344	62388615	3
1	684	62388615	62393638	2
1	685	62393638	62510584	1
1	686	62510584	62598741	2
1	687	62598741	62660991	1
1	688	62660991	62672415	2
1	689	62672415	62743398	3
1	690	62743398	62762139	2
1	691	62762139	63329415	1
1	692	63329415	63468034	2
1	693	63468034	63563105	4
1	694	63563105	63642762	5
1	695	63642762	63654256	4
1	696	63654256	63834814	3
1	697	63834814	63862740	2
1	698	63862740	64142277	1
1	699	64142277	64217123	2
1	700	64217123	64429603	5
1	701	64429603	64438295	4
1	702	64438295	64441377	3
1	703	64441377	65113568	2
1	704	65113568	65824320	1
1	705	65824320	65936181	2
1	706	65936181	65966536	3
1	707	65966536	65992625	4
1	708	65992625	66089782	5
1	709	66089782	66172006	4
1	710	66172006	66200904	3
1	711	66200904	66358242	2
1	712	66358242	66769100	1
1	713	66769100	66960809	2
1	714	66960809	67274795	1
1	715	67274795	67385075	0
1	716	67385075	67752701	1
1	717	67752701	67860323	2
1	718	67860323	68143281	1
1	719	68143281	68417943	2
1	720	68417943	68512910	1
1	721	68512910	68728886	0
1	722	68728886	68821539	1
1	723	68821539	68884860	0
1	724	68884860	68895518	2
1	725	68895518	68921635	3
1	726	68921635	68923610	1
1	727	68923610	69080255	0
1	728	69080255	69261275	1
1	729	69261275	69303675	0
1	730	69303675	69323507	1
1	731	69323507	69550939	2
1	732	69550939	69705602	1
1	733	69705602	69722059	0
1	734	69722059	69920839	1
1	735	69920839	71366499	0
1	736	71366499	71472911	1
1	737	71472911	71827570	0
1	738	71827570	71999478	2
1	739	71999478	72035165	1
1	740	72035165	72110680	2
1	741	72110680	72157134	3
1	742	72157134	72172833	2
1	743	72172833	72187053	4
1	744	72187053	72190538	6
1	745	72190538	72193716	7
1	746	72193716	72224718	8
1	747	72224718	72385590	9
1	748	72385590	72396422	7
1	749	72396422	72433346	4
1	750	72433346	72464738	3
1	751	72464738	72482061	5
1	752	72482061	72488455	4
1	753	72488455	72492243	7
1	754	72492243	72509490	8
1	755	72509490	72596508	9
1	756	72596508	72615624	8
1	757	72615624	72663293	7
1	758	72663293	72733610	6
1	759	72733610	72751185	2
1	760	72751185	72837777	1
1	761	72837777	72925024	0
1	762	72925024	72940536	1
1	763	72940536	73106674	2
1	764	73106674	73243035	1
1	765	73243035	73315310	0
1	766	73315310	73373581	1
1	767	73373581	74408578	2
1	768	74408578	74430020	3
1	769	74430020	74434631	4
1	770	74434631	74435586	5
1	771	74435586	74440298	6
1	772	74440298	74543916	7
1	773	74543916	74687362	6
1	774	74687362	74701950	3
1	775	74701950	74874471	2
1	776	74874471	74944345	1
1	777	74944345	74981625	2
1	778	74981625	75068431	3
1	779	75068431	75086463	2
1	780	75086463	75841147	1
1	781	75841147	76055098	0
1	782	76055098	76332637	1
1	783	76332637	76591406	2
1	784	76591406	76645523	3
1	785	76645523	76837658	2
1	786	76837658	77003340	4
1	787	77003340	77053383	2
1	788	77053383	77107842	1
1	789	77107842	77190350	2
1	790	77190350	77359216	1
1	791	77359216	77579144	1
1	792	77579144	77719007	0
1	793	77719007	77738199	1
1	794	77738199	77954895	2
1	795	77954895	77979952	1
1	796	77979952	79187274	0
1	797	79187274	79206877	1
1	798	79206877	79309382	2
1	799	79309382	79322378	3
1	800	79322378	79392576	4
1	801	79392576	79493936	5
1	802	79493936	79557804	4
1	803	79557804	79568532	3
1	804	79568532	79632995	4
1	805	79632995	79802058	5
1	806	79802058	79805545	6
1	807	79805545	79813493	5
1	808	79813493	79990938	4
1	809	79990938	79991574	5
1	810	79991574	80153948	4
1	811	80153948	80171404	5
1	812	80171404	80175409	9
1	813	80175409	80192205	9
1	814	80192205	80203708	12
1	815	80203708	80207601	14
1	816	80207601	80216482	15
1	817	80216482	80227210	51
1	818	80227210	80233281	52
1	819	80233281	80236338	54
1	820	80236338	80267540	55
1	821	80267540	80329280	54
1	822	80329280	80388093	53
1	823	80388093	80446179	50
1	824	80446179	80477880	51
1	825	80477880	80487023	52
1	826	80487023	80518296	57
1	827	80518296	80520716	56
1	828	80520716	80532902	50
1	829	80532902	80546882	14
1	830	80546882	80588364	13
1	831	80588364	80604641	11
1	832	80604641	80797910	10
1	833	80797910	80962020	9
1	834	80962020	81053002	13
1	835	81053002	81114990	17
1	836	81114990	81120036	23
1	837	81120036	81210893	24
1	838	81210893	81214675	23
1	839	81214675	81337634	20
1	840	81337634	81354844	16
1	841	81354844	81359010	17
1	842	81359010	81489207	18
1	843	81489207	81491004	12
1	844	81491004	81586224	9
1	845	81586224	81598850	8
1	846	81598850	81624494	7
1	847	81624494	81991357	1
1	848	81991357	82092861	2
1	849	82092861	82111515	1
1	850	82111515	82655838	2
1	851	82655838	82787818	6
1	852	82787818	82808488	5
1	853	82808488	82826668	2
1	854	82826668	83084875	3
1	855	83084875	83160061	2
1	856	83160061	83325646	3
1	857	83325646	83399709	4
1	858	83399709	83420927	3
1	859	83420927	83511190	2
1	860	83511190	83610036	3
1	861	83610036	84058874	2
1	862	84058874	84102125	3
1	863	84102125	84323543	2
1	864	84323543	84394792	1
1	865	84394792	85290409	0
1	866	85290409	85345941	1
1	867	85345941	85510906	6
1	868	85510906	85541164	7
1	869	85541164	85551468	5
1	870	85551468	85731321	1
1	871	85731321	85733374	2
1	872	85733374	86038738	1
1	873	86038738	86064515	2
1	874	86064515	86067818	4
1	875	86067818	86150378	5
1	876	86150378	86223922	7
1	877	86223922	86276397	8
1	878	86276397	86278315	14
1	879	86278315	86282479	15
1	880	86282479	86301640	16
1	881	86301640	86392577	17
1	882	86392577	86466394	16
1	883	86466394	86487992	13
1	884	86487992	86516841	15
1	885	86516841	86736892	13
1	886	86736892	86760215	14
1	887	86760215	86775584	13
1	888	86775584	86891073	12
1	889	86891073	87101375	3
1	890	87101375	87246546	4
1	891	87246546	87466245	3
1	892	87466245	87640467	2
1	893	87640467	87934293	1
1	894	87934293	88213827	2
1	895	88213827	88230758	1
1	896	88230758	88556683	2
1	897	88556683	88561401	4
1	898	88561401	88713009	5
1	899	88713009	88717899	4
1	900	88717899	88734426	2
1	901	88734426	88829969	1
1	902	88829969	88967001	2
1	903	88967001	89017852	3
1	904	89017852	89201607	2
1	905	89201607	89408073	1
1	906	89408073	89550042	2
1	907	89550042	89575088	3
1	908	89575088	89607912	4
1	909	89607912	89655325	3
1	910	89655325	89674211	4
1	911	89674211	89701383	3
1	912	89701383	89733172	2
1	913	89733172	89888371	1
1	914	89888371	90191460	2
1	915	90191460	90346108	1
1	916	90346108	91602242	0
1	917	91602242	91637456	1
1	918	91637456	91670375	2
1	919	91670375	91761857	3
1	920	91761857	91809713	2
1	921	91809713	92017120	1
1	922	92017120	92036340	2
1	923	92036340	92043125	3
1	924	92043125	92100981	5
1	925	92100981	92222850	4
1	926	92222850	92260126	5
1	927	92260126	92264654	4
1	928	92264654	92268880	2
1	929	92268880	92349247	1
1	930	92349247	92391975	0
1	931	92391975	92820020	1
1	932	92820020	93876429	0
1	933	93876429	93900247	1
1	934	93900247	94153857	2
1	935	94153857	95146131	1
1	936	95146131	97509336	0
1	937	97509336	97560451	1
1	938	97560451	97654726	2
1	939	97654726	97711561	4
1	940	97711561	97736555	5
1	941	97736555	97736657	6
1	942	97736657	97740547	4
1	943	97740547	97800505	7
1	944	97800505	97830969	8
1	945	97830969	97831009	9
1	946	97831009	97845053	8
1	947	97845053	97934085	6
1	948	97934085	97981421	7
1	949	97981421	98030023	5
1	950	98030023	98088937	4
1	951	98088937	98143204	3
1	952	98143204	98146504	2
1	953	98146504	98165091	2
1	954	98165091	98301471	1
1	955	98301471	99800813	0
1	956	99800813	99883808	1
1	957	99883808	99954194	2
1	958	99954194	100182997	1
1	959	100182997	100234367	2
1	960	100234367	100436133	4
1	961	100436133	100575941	1
1	962	100575941	101027524	0
1	963	101027524	101141256	1
1	964	101141256	101296067	0
1	965	101296067	101810561	1
1	966	101810561	101895945	2
1	967	101895945	101927483	3
1	968	101927483	102000412	4
1	969	102000412	102022363	5
1	970	102022363	102100910	5
1	971	102100910	102107148	4
1	972	102107148	102141207	3
1	973	102141207	102155106	4
1	974	102155106	102248457	5
1	975	102248457	102418734	4
1	976	102418734	102536498	3
1	977	102536498	102602900	5
1	978	102602900	102641434	4
1	979	102641434	102648455	6
1	980	102648455	102653180	8
1	981	102653180	102660815	35
1	982	102660815	102681001	118
1	983	102681001	102831181	129
1	984	102831181	102835103	123
1	985	102835103	102858539	16
1	986	102858539	102873193	5
1	987	102873193	102934791	4
1	988	102934791	102936218	3
1	989	102936218	103076998	2
1	990	103076998	103432419	3
1	991	103432419	103450912	4
1	992	103450912	103578830	5
1	993	103578830	103622234	4
1	994	103622234	103700789	3
1	995	103700789	103773893	4
1	996	103773893	104313812	3
1	997	104313812	104409230	4
1	998	104409230	104456744	5
1	999	104456744	104483838	6
1	1000	104483838	104523918	14
